排名,电影名,上映时间,评分,票房,平均票价,场均人次,电影标签,出品地区
131,深海,2023-01-22,9.0,91953,46.549366,11,"奇幻,动画",中国大陆
132,热烈,2023-07-28,9.4,91331,41.39644,15,"青春,运动,喜剧",中国大陆
133,超时空同居,2018-05-18,8.7,90307,33.010834,12,"喜剧,爱情,奇幻",中国大陆
134,老炮儿,2015-12-24,9.1,90116,31.459543,38,"剧情,动作",中国大陆
135,阿丽塔：战斗天使,2019-02-22,9.0,89693,37.834686,14,"动作,冒险,科幻",美国
136,绝地逃亡,2016-07-21,8.5,88769,34.733532,25,"喜剧,动作",中国大陆
137,智取威虎山,2014-12-23,9.2,88348,41.35338,28,战争,"中国大陆,中国香港"
138,十二生肖,2012-12-20,未找到评分信息,88176,40.26582,37,"动作,冒险,喜剧","中国大陆,中国香港"
139,银河补习班,2019-07-18,9.4,87832,34.11227,16,"剧情,家庭",中国大陆
140,星际穿越,2014-11-12,9.3,87697,35.246487,23,"剧情,科幻,冒险",美国
141,志愿军：雄兵出击,2023-09-28,9.6,86891,42.22733,9,"剧情,历史,战争",中国大陆
142,碟中谍5：神秘国度,2015-09-08,9.0,86806,32.779945,26,"动作,惊悚,冒险",美国
143,温暖的抱抱,2020-12-31,8.5,86417,37.13129,11,喜剧,中国大陆
144,冰雪奇缘2,2019-11-22,8.9,86077,34.397697,11,"喜剧,动画,冒险",美国
145,我的姐姐,2021-04-02,8.8,86025,36.802353,9,"剧情,家庭",中国大陆
146,巨齿鲨2：深渊,2023-08-04,8.9,85136,42.33687,14,"冒险,动作,科幻","中国大陆,美国"
147,长空之王,2023-04-28,9.5,85059,41.857983,10,"剧情,动作",中国大陆
148,夺冠,2020-09-25,8.9,83679,38.80738,10,剧情,"中国大陆,中国香港"
149,狮子王,2019-07-12,8.8,83387,35.99165,16,"剧情,动画,冒险",美国
150,蚁人2：黄蜂女现身,2018-08-24,8.8,83157,36.05231,15,"动作,冒险,科幻",美国
151,星球大战：原力觉醒,2016-01-09,8.2,82426,37.234848,24,"冒险,科幻,奇幻",美国
152,唐人街探案,2015-12-31,9.0,82334,31.746136,33,"喜剧,动作,悬疑",中国大陆
153,你的婚礼,2021-04-30,8.0,82278,37.59066,14,爱情,中国大陆
154,从你的全世界路过,2016-09-29,8.6,81334,31.217215,22,"喜剧,爱情",中国大陆
155,铃芽之旅,2023-03-24,9.0,80790,33.219936,9,"爱情,动画,奇幻",日本
156,X战警：天启,2016-06-03,8.9,80091,34.448685,23,"动作,科幻,奇幻",美国
157,反贪风暴4,2019-04-04,9.0,79905,34.990177,11,"剧情,动作,犯罪",中国大陆
158,无名之辈,2018-11-16,9.0,79452,34.597515,12,"剧情,喜剧,犯罪",中国大陆
159,你想活出怎样的人生,2024-04-03,8.5,79116,38.886307,7,"剧情,奇幻,动画",日本
160,异形：夺命舰,2024-08-16,8.7,78636,40.556633,7,"科幻,惊悚",美国
161,北京遇上西雅图之不二情书,2016-04-29,8.5,78538,33.51533,24,"剧情,爱情",中国大陆
162,末路狂花钱,2024-05-01,8.7,78180,40.081097,7,"喜剧,剧情",中国大陆
163,蜘蛛侠：英雄归来,2017-09-08,8.2,77477,35.15436,16,"动作,冒险,科幻",美国
164,叶问3,2016-03-04,8.4,76948,38.843933,23,"动作,历史,传记",中国大陆
165,人潮汹涌,2021-02-12,9.0,76237,41.317425,10,"剧情,喜剧,爱情",中国大陆
166,霍比特人3：五军之战,2015-01-23,9.1,76129,45.45982,30,"动作,冒险,奇幻","美国,新西兰"
167,大闹天竺,2017-01-28,7.4,75611,35.56586,31,"喜剧,动作,冒险",中国大陆
168,钢铁侠3,2013-05-01,9.0,75486,41.834854,33,"动作,科幻,冒险","美国,中国大陆"
169,无问西东,2018-01-12,8.6,75432,31.431118,18,"爱情,战争",中国大陆
170,奇异博士,2016-11-04,8.9,75020,34.8847,18,"动作,冒险,奇幻",美国
171,神秘巨星,2018-01-19,9.3,74708,30.02213,17,"剧情,喜剧,音乐",印度
172,雷神3：诸神黄昏,2017-11-03,8.9,74371,35.466118,15,"动作,冒险,奇幻",美国
